window_seconds,variant,test_day,decoder,true_room,pred_room,count
1,M2,2023-04-11,raw,513,hallway,0
1,M2,2023-04-11,raw,513,kitchen,0
1,M2,2023-04-11,raw,513,nurse station,0
1,M2,2023-04-11,raw,516,502,6
1,M2,2023-04-11,raw,516,511,0
1,M2,2023-04-11,raw,516,512,0
1,M2,2023-04-11,raw,516,513,5
1,M2,2023-04-11,raw,516,516,0
1,M2,2023-04-11,raw,516,517,2
1,M2,2023-04-11,raw,516,518,0
1,M2,2023-04-11,raw,516,520,0
1,M2,2023-04-11,raw,516,522,0
1,M2,2023-04-11,raw,516,523,0
1,M2,2023-04-11,raw,516,cafeteria,0
1,M2,2023-04-11,raw,516,cleaning,0
1,M2,2023-04-11,raw,516,hallway,0
1,M2,2023-04-11,raw,516,kitchen,0
1,M2,2023-04-11,raw,516,nurse station,0
1,M2,2023-04-11,raw,517,502,9
1,M2,2023-04-11,raw,517,511,0
1,M2,2023-04-11,raw,517,512,0
1,M2,2023-04-11,raw,517,513,0
1,M2,2023-04-11,raw,517,516,1
1,M2,2023-04-11,raw,517,517,4
1,M2,2023-04-11,raw,517,518,0
1,M2,2023-04-11,raw,517,520,0
1,M2,2023-04-11,raw,517,522,0
1,M2,2023-04-11,raw,517,523,0
1,M2,2023-04-11,raw,517,cafeteria,0
1,M2,2023-04-11,raw,517,cleaning,0
1,M2,2023-04-11,raw,517,hallway,0
1,M2,2023-04-11,raw,517,kitchen,1
1,M2,2023-04-11,raw,517,nurse station,0
1,M2,2023-04-11,raw,518,502,0
1,M2,2023-04-11,raw,518,511,0
1,M2,2023-04-11,raw,518,512,0
1,M2,2023-04-11,raw,518,513,0
1,M2,2023-04-11,raw,518,516,0
1,M2,2023-04-11,raw,518,517,0
1,M2,2023-04-11,raw,518,518,1
1,M2,2023-04-11,raw,518,520,2
1,M2,2023-04-11,raw,518,522,0
1,M2,2023-04-11,raw,518,523,0
